"County","FIPS","Tract","Imprisonment_Rate","Total_Pop","IncomeMedian","pctWhite","pctBlack","pctBachelorsUp","pctUnderPoverty","pctOwner","pctRenter","UnempRate16","missing","Imprisonment_RateCounty","Total_PopCounty","IncomeMedianCounty","pctWhiteCounty","pctBlackCounty","pctBachelorsUpCounty","pctUnderPovertyCounty","pctOwnerCounty","pctRenterCounty","UnempRate16County","white","black","bachelorsUp","poverty","owner","renter","unemp","black_cat","white_cat","bachelors_cat","poverty_cat","owner_cat","renter_cat"
"Allegany",24001000100,"Allegany County, Census Tract 1",30,3371,55057,98.61992824,0.4692244,13.5770235,9.54885137,85.85662884,14.14337116,2.5,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001000200,"Allegany County, Census Tract 2",98,4101,57353,72.73972603,24.35616438,12.12962963,5.891783567,87.34939759,12.65060241,3.4,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001000500,"Allegany County, Census Tract 5",194,2059,30230,68.67523261,30.26140895,13.41853035,27.65432099,54.65616046,45.34383954,9.5,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001000600,"Allegany County, Census Tract 6",259,3089,41080,95.39325843,2.621722846,26.65647299,17.96875,70.79331199,29.20668801,5.3,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001000700,"Allegany County, Census Tract 7",329,3341,30760,93.38922928,6.352789423,13.36166195,30.33042394,43.66459627,56.33540373,7.2,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter"
"Allegany",24001000800,"Allegany County, Census Tract 8",471,1911,27041,96.64602683,2.734778122,6.111535523,33.73921867,46.18494189,53.81505811,10.3,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter"
"Allegany",24001001000,"Allegany County, Census Tract 10",608,2139,33295,96.22119816,2.903225806,17.57961783,24.09411765,48.69729986,51.30270014,12.9,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter"
"Allegany",24001001100,"Allegany County, Census Tract 11",70,1432,43264,95.53805774,4.111986002,42.52873563,19.67213115,60.08810573,39.91189427,6.7,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,1,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Above Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001200,"Allegany County, Census Tract 12",103,2902,89886,98.45378151,0.302521008,43.45182413,7.135678392,75.05866577,24.94133423,3,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,1,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Above Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001300,"Allegany County, Census Tract 13",0,4990,51696,49.83302412,49.12801484,7.153194129,8.349609375,71.53320313,28.46679688,6.9,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,0,0,0,0,1,0,1,"Not Majority Black","Not Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001401,"Allegany County, Census Tract 14.01",154,3896,78589,96.51029748,1.201372998,37.71746695,5.209481808,87.48273004,12.51726996,2.6,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001402,"Allegany County, Census Tract 14.02",0,1439,66042,99.39903846,0.360576923,28.86597938,4.915155061,81.68519602,18.31480398,2.8,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001502,"Allegany County, Census Tract 15.02",54,1846,54449,99.02912621,0.970873786,14.96512365,13.36515513,82.52983294,17.47016706,8.3,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001503,"Allegany County, Census Tract 15.03",116,1718,45100,98.7283237,0.809248555,8.997252747,11.28205128,81.65242165,18.34757835,15.2,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001600,"Allegany County, Census Tract 16",123,1620,47188,97.44897959,0.793650794,34.44354184,18.26241135,66.74405107,33.25594893,5.4,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,0,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001700,"Allegany County, Census Tract 17",209,4309,44181,96.80038204,0.811843362,24.04620231,19.81776765,68.93712575,31.06287425,9.4,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,1,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Above Average","Majority Homeowner","Not Majority Renter"
"Allegany",24001001800,"Allegany County, Census Tract 18",77,3894,31744,74.24274518,21.49968227,41.2412993,30.14729951,49.54721863,50.45278137,10.2,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,1,1,0,1,1,"Not Majority Black","Majority White","Percent with Unemployment Above Average","Percent Under Poverty Level Above Average","Not Majority Homeowner","Majority Renter"
"Allegany",24001001900,"Allegany County, Census Tract 19",79,2516,56053,99.10990712,0,20.76318743,8.490930143,84.33919022,15.66080978,8.2,FALSE,163.363636363636,68211,49091.7727272727,91.8576917863636,6.90758346368182,21.0200997385909,16.0221212775455,70.3227147981818,29.6772852022727,7.53181818181818,1,0,0,0,1,0,1,"Not Majority Black","Majority White","Percent with Unemployment Below Average","Percent Under Poverty Level Below Average","Majority Homeowner","Not Majority Renter"
